system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,recovery_s,asr_text
ckpt:runs/vaani_no_controller/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,9.932821273803711,9.832128524780273,0.994762362282298,2.4766881465911865,nan,वेरे चाचा क्रिकेट के शोक्किया खिलाडी है
ckpt:runs/vaani_no_controller/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,6.047967910766602,5.472007751464844,0.9355510906510665,2.1832313537597656,nan,रेना कोई कोई ख़द का चिन नहीं चुपर किंख्स नहीं की आरी टेन
ckpt:runs/vaani_no_controller/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.944560527801514,6.130558967590332,0.8105958869999379,1.209636926651001,nan,"fine clothes, good eating, in particular, a company and a point of shift of successful bed."
ckpt:runs/vaani_no_controller/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,10.283780097961426,9.944671630859375,0.9098948354828708,1.6060584783554077,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_no_controller/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.186633110046387,9.791237831115723,0.9054161003225121,1.5804283618927002,nan,session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
ckpt:runs/vaani_no_controller/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,6.710326194763184,5.695316314697266,0.6942688903464674,2.031179428100586,nan,Boiled perch with oyster sauce. Prepare and clean the fish.
ckpt:runs/vaani_no_controller/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,5.836865425109863,4.55236291885376,0.8038235768669602,1.347714900970459,nan,अपने च्ड़ाडियों पर लग्खुद्वेख लोनी योज़््ठादि काभी किया बचाओ.
ckpt:runs/vaani_no_controller/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,10.696210861206055,10.58095932006836,0.8284085142677572,1.3985869884490967,nan,अगर बाद़ा पर परच्वाँई चार्वाँगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगगग�
ckpt:runs/vaani_no_controller/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,4.629422664642334,2.8418970108032227,0.7788051727236195,1.1978651285171509,nan,were on the... the... the... ... ... ...
ckpt:runs/vaani_no_controller/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,4.621906757354736,2.7875680923461914,0.7449069711908987,1.52817964553833,nan,अदिन लेंगे दिन रोपर है वेकन्सी करे अपलाए
ckpt:runs/vaani_no_controller/best.pt,0010,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_26131771,-8.189241409301758,-7.59611177444458,0.8741141212520472,2.4040396213531494,nan,Then I want Einstein.
ckpt:runs/vaani_no_controller/best.pt,0011,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_26131962,7.974295616149902,7.3258185386657715,0.784472440834657,1.583551287651062,nan,बहाँ आव चल रहा है
ckpt:runs/vaani_no_controller/best.pt,0012,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_27761476,9.520283699035645,9.009572982788086,0.7929963553584819,1.4160239696502686,nan,जी तुभ जाए सब बूड
ckpt:runs/vaani_no_controller/best.pt,0013,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_38227751,5.894102573394775,4.619699001312256,0.7292448369641795,1.6064358949661255,nan,minä oon otanut paljon ruvittu kahdemaan suuri rupean viime ajan.
ckpt:runs/vaani_no_controller/best.pt,0014,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0032,3.513345718383789,1.0701082944869995,0.7860290140715626,1.3211861848831177,nan,But popular feeling on both sides was now around.
