system,id,bucket,noise_class,snr_in,clipped,ref_dropout,impulse_peak_db,fault,speech_source,snr_out,si_sdr,stoi,pesq_wb,dnsmos_sig,dnsmos_bak,dnsmos_ovrl,recovery_s,asr_text
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0000,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24360601,14.264053344726562,14.164772033691406,0.9927551822239892,2.605940580368042,3.0932081705750387,4.128703727666647,2.7335803256178894,nan,मेरे चाचा क्रिकेट के शोक्किया खिलाडी है
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0001,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_24359451,10.919416427612305,10.596015930175781,0.9380917136182574,2.2362542152404785,3.057517043585664,3.973986793657467,2.7215722001481106,nan,रेना को एक ओजद का चिन नहीं चुपर किंज नहीं की आरी टेन.
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0002,changing_-10,changing,-10.0,False,False,,,ls:2007-149877-0004,6.877554893493652,5.966102600097656,0.809356542432279,1.2300597429275513,3.0312576397632482,3.7063168094791363,2.6738290490144516,nan,"fine clothes, good eating, in particular, a company and a point of shift of successful bed."
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0003,changing_-10,changing,-10.0,True,False,,,ls:2007-132570-0019,10.882901191711426,10.52026653289795,0.9129625774704216,1.6306800842285156,3.3369869789186732,3.597143285623617,2.874692194920277,nan,and nothing to be seen but the old castle walls. So they helped one another up again as fast as they could.
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0004,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0075,10.356761932373047,9.957024574279785,0.9096147726732554,1.5716745853424072,3.501816877750796,4.142377349200158,3.2255633007412263,nan,a session of Cromwell to Supreme Power in December 1653 with the title of Lord Protector.
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0005,changing_-10,changing,-10.0,True,False,,,ls:1081-128618-0002,6.829183101654053,6.009199142456055,0.6875823246985263,2.067763566970825,3.4590080236506906,4.1342591850916275,3.1754188172657316,nan,Boiled perch with oyster sauce. Prepare and clean the fish and
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0006,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_30625449,6.661679744720459,5.694756031036377,0.8096537384235902,1.420074224472046,3.0153361869102606,4.097355985251142,2.690943758085159,nan,अपने किष्डारी आपन लख्च्वे भूनी योज्ट का भी किया बचाओ.
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0007,changing_-10,changing,-10.0,False,False,,,cvhi:common_voice_hi_35081300,10.578449249267578,10.291479110717773,0.8099055730216757,1.401294231414795,2.5701041882631555,3.9351510833532677,2.1852663237089085,nan,
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0008,changing_-10,changing,-10.0,False,False,,,ls:1081-125237-0034,4.93348503112793,3.261868715286255,0.789198099731485,1.2203171253204346,3.431964658102846,3.7224341689873732,3.0103849761224253,nan,"were on the enemies. The dunes, which sleets covered the seas and the welfare"
ckpt:runs/vaani_no_controller_r3_s2/best.pt,0009,changing_-10,changing,-10.0,False,True,,,cvhi:common_voice_hi_27761653,4.919125080108643,3.263636827468872,0.7463595983615203,1.573826789855957,2.2668714814505955,3.463088993400126,1.8526141851527405,nan,अदिन लेएडिन तो पर है वेकन्सी करे अपलाई
